FID,id,vejkode,vejnavn,park_id,bydel,stativ_type,stativ_placering,stativ_udformning,cykler_retning,antal_pladser,stativ_tilstand,stativ_ejer,stativ_foto,bemaerkning,reg_metode,reg_dato,rettet_dato,budget,projekt,faerdigmelding,projektbeskrivelse,stativ_fjernet,ogc_fid,wkb_geometry
cykelstativ.1,6451,0004,Abel Cathrines Gade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Ikke registreret,7,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-01-30T13:06:53.911,2018-08-09T11:04:28.195,2013,fase2,,,2,1,POINT (12.559765094348965 55.67128132114399)
cykelstativ.2,6450,0004,Abel Cathrines Gade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Ikke registreret,7,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-01-30T13:06:53.911,2018-08-09T11:04:28.195,2013,fase2,,,2,2,POINT (12.559911715583816 55.671311681209765)
cykelstativ.3,7174,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,20,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,3,POINT (12.553729150827518 55.672336909066956)
cykelstativ.4,7175,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,20,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,4,POINT (12.55377232250421 55.67217578974723)
cykelstativ.5,7176,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,15,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-13T12:08:50.971,2018-08-09T11:04:28.195,2013,fase2,,Bedre Cykelparkering,2,5,POINT (12.553918250884836 55.671839790852005)
cykelstativ.6,6020,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,NO,På fortovsudvidelse,Enkeltsidet,Vinkelret,5,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2016-05-30T12:45:44.181,2018-08-09T11:04:28.195,,,,,2,6,POINT (12.555136731580014 55.66983957166722)
cykelstativ.7,6877,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,13,Ikke registreret,Offentligt,,,Digitaliseret manuelt,2017-02-10T16:40:10.074,2018-08-09T11:04:28.195,2013,fase1,,Bedre Cykelparkering,2,7,POINT (12.555074048133065 55.66992956454935)
cykelstativ.8,4569,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,NO,På gadeareal,Enkeltsidet,Vinkelret,10,Ikke registreret,Offentligt,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,8,POINT (12.555278555867302 55.66961724767305)
cykelstativ.9,4912,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,Privat,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,9,POINT (12.583549173536342 55.68412464335521)
cykelstativ.10,4911,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,Privat,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,10,POINT (12.583679587460795 55.684304726228234)
cykelstativ.11,4910,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,Privat,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,11,POINT (12.584094814937503 55.6847686388123)
cykelstativ.12,4909,0024,Adelgade,0,Indre By,Andet,På plads,Rundt,Vinkelret,64,Ikke registreret,Privat,,,Indmålt med GPS,,2018-08-09T11:04:28.195,,,,,2,12,POINT (12.584216110826226 55.68492337861544)
cykelstativ.13,6593,0024,Adelgade,0,Indre By,Ikke registreret,På plads,Dobbeltsidet,Ikke registreret,48,Ikke registreret,Offentligt, ,2x12+24 pladser,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,13,POINT (12.583328242333472 55.68385721321523)
cykelstativ.14,6589,0024,Adelgade,0,Indre By,Noli,På gadeareal,Enkeltsidet,Skråt 45 grader,12,Ikke registreret,Offentligt, ,2x5 pladser,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,14,POINT (12.582371169538636 55.68238286162003)
cykelstativ.15,6553,0024,Adelgade,0,Indre By,Ikke registreret,På facade,Enkeltsidet,Ikke registreret,10,Ikke registreret,Privat,,,Digitaliseret manuelt,2017-02-02T15:14:21.202,2018-08-09T11:04:28.195,,,,,2,15,POINT (12.586172879035184 55.686744930213706)
cykelstativ.16,6551,0024,Adelgade,0,Indre By,Ikke registreret,På plads,Dobbeltsidet,Ikke registreret,20,Ikke registreret,Privat,,2x10 pladser,Digitaliseret manuelt,2017-02-02T15:08:53.388,2018-08-09T11:04:28.195,,,,,2,16,POINT (12.585216730802435 55.6860846273253)
cykelstativ.17,6591,0024,Adelgade,0,Indre By,Ikke registreret,Tæt på facade,Enkeltsidet,Ikke registreret,15,Ikke registreret,Offentligt, ,,Digitaliseret manuelt,2009-06-01T00:00:00,2018-08-09T11:04:28.195,,,,,2,17,POINT (12.583110954402004 55.68313851022219)
