search_id,coordinates_search,Unmet Demand
000DE8F9-D1BC-41DC-9AFE-CAC325857CE8,"55.647637170354081,12.537087186785893",1
001C1FB8-885A-4B0A-8806-26979E14AC31,"55.669572434517121,12.57065867886813",1
001D176E-65E4-41FD-B656-DD3ABB84C292,"55.679660255789322,12.5989182691107",1
001b6a48-8da4-4800-9399-ac69441e682d,"55.6695057,12.5718622",1
00222702-FFCC-428A-BEBC-49CD7D0590EF,"55.670410688760889,12.594659325955393",1
00245D66-9FC0-40FE-A91E-B185155D0B83,"55.628953339398542,12.646573103451397",1
00335098-29E3-4A9B-AD9A-C020CF2FB2EA,"55.644437628900683,12.554781158690689",1
0038C9A6-81DD-4DA2-BE0D-D9F12C9FB815,"55.640818477695078,12.61031813048313",1
003FCA44-86E3-4BCF-B587-6ABB44254E82,"55.68672063867573,12.5923729273061",1
003cb0a9-34d9-4ccc-a5a6-7915251410c1,"55.6245665,12.5764581",1
00422EFF-E3A6-4F95-B715-EBCC8AF7B0F6,"55.689404337772729,12.59378638249413",1
00437EE1-4489-440D-92E8-ABE695E6F64E,"55.685669771341715,12.488681711388878",1
00531F8E-6C44-403F-85F6-85D86B9BC8FC,"55.647306659713685,12.586535651625692",1
005543E1-8B06-4DC4-B7F2-110C2ED522A6,"55.67931869543564,12.528595731415123",1
0057a338-ce0b-4014-958e-8775a05b1f8f,"55.6814103,12.5939095",1
00583D23-EBC0-4E9A-906F-FD7ECF9E7E4A,"55.702824517300257,12.49807911178795",1
00587EFF-DD66-4916-BF4D-86E2D17E04D2,"55.665929624862663,12.517225407075619",1
0059f319-da34-474f-b33a-0aeb8a6dd19e,"55.6910638,12.5919808",1
006681EB-05A6-4365-830E-AC7BB7E0220C,"55.669603221643762,12.5708118291018",1
00742b66-1f8c-429f-95e3-ae1c95304f71,"55.6887806,12.5211546",1
00772378-5EC2-4ED1-87C2-A3D407E123E6,"55.627835748011172,12.65258195628536",1
0079E8FB-858C-4EFC-9040-D7C8049BF99E,"55.682111897516904,12.610175748982353",1
007CC7FE-2415-4FCB-90ED-E8EC2C00ADBD,"55.674196020086093,12.603892999675869",1
0082B749-5AAC-4F51-A0C7-54A9B42FBD46,"55.78569302340577,12.522078864288071",1
008E8272-2DFC-4AC6-8355-7BF07D0B3107,"55.70974986822246,12.52322574107906",1
008c6365-b469-4f52-87d4-206cdfe49d39,"55.6528601,12.5399086",1
00905D26-EBD2-4220-8D41-5B1E5C13661C,"55.681534798212752,12.62220881536955",1
00910b4c-7b33-44ea-b167-3ccfe9b86e24,"55.6669042,12.5662568",1
00927380-FF8E-4B42-AD8A-24DEA7A95C72,"55.679616983864378,12.598280062494331",1
009438F2-38D1-4FD5-9C96-69BDD75C65C3,"55.710441637334569,12.52190917354212",1
009449a1-40c8-4689-8590-8a8a99646d45,"55.6865858,12.5927198",1
0094E042-7177-4892-9E1B-8FB3FB484158,"55.616658774509112,12.573076110395711",1
009C9810-4FB8-4EBF-83D1-D2A72001F2EB,"55.673392639857433,12.60662728400756",1
00AA2664-993D-44F6-B6EF-50982229C63F,"55.673590609010482,12.60522887859827",1
00B0B7BE-E6D6-4FFB-83A1-3CB6EED46FD9,"55.681833777462607,12.560018434125547",1
00B2D7FA-195B-483D-8B11-EE5219D392E9,"55.673841411193663,12.584029423459386",1
00B7A822-37DF-4051-BD83-D63010FDB560,"55.709430832305181,12.600114710920041",1
00C0DF30-D243-402F-A16B-9CB769B9A6E2,"55.679048893611188,12.527511647364236",1
00C6038C-8776-4F39-86CC-66B3DF3B9094,"55.667930913201616,12.612545068303842",1
00C8E3E0-A46A-47B1-B19E-2C74C77D9902,"55.679519833104152,12.6094183791302",1
00CAC2ED-3DFE-4302-ACD9-C491F0864604,"55.70176210069976,12.574272855423059",1
00D0EE6F-4749-4179-B6AD-01EFC6F57A23,"55.691846469469077,12.57356026211062",1
00DBB2D6-C738-45D9-BC95-A82135CBFB1C,"55.694009792806263,12.508791759119781",1
00E0B43B-AF0E-4046-AD15-3CB7E9AEE583,"55.682802679936593,12.596405338836631",1
00E46E88-086C-4A1B-9D3F-8E4CD8AA33B7,"55.686459009274763,12.5926007943648",1
00E82281-7659-4C59-AE5B-F3E3380D4ECF,"55.665611797000658,12.56591983146204",1
00EC19A6-A4BE-4743-82D0-95CD0B7189F7,"55.711174329398972,12.514080832118781",1
00EED530-415D-4D8A-A017-8F74620870EF,"55.702347193658674,12.563333450126796",1
00EEFED7-90FC-486F-A30E-B5AC1AFE2D91,"55.69296955888052,12.618049788921322",1
